2023-01-27 09:20:11,856 | WARN  | qtp1280429864-44 | jetty.http.HttpParser Illegal character 0x3 in state=START for buffer HeapByteBuffer@1ed2a34a[p=1,l=47,c=16384,r=46]={\x03<<<\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie:...nistr\r\n\x01\x00\x08\x00\x03\x00\x00\x00>>>\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00...\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00}
2023-09-26 00:59:44,421 | DEBUG | main | api 106 <-> com.vinplay.api.processors.minigame.VinhDanhMiniPokerProcessor
2023-09-26 00:59:44,421 | DEBUG | main | api 107 <-> com.vinplay.api.processors.minigame.LSGDCaoThapProcessor
2023-09-26 00:59:44,421 | DEBUG | main | api 108 <-> com.vinplay.api.processors.minigame.VinhDanhCaoThapProcessor
2023-09-26 00:59:44,422 | DEBUG | main | api 109 <-> com.vinplay.api.processors.minigame.TopCaoThapProcessor
2023-09-26 00:59:44,422 | DEBUG | main | api 110 <-> com.vinplay.api.processors.gamebai.GetLogNoHuGameBaiProcessor
2023-09-26 00:59:44,422 | DEBUG | main | api 111 <-> com.vinplay.api.processors.gamebai.GetConfigHuGameBaiProcessor
2023-09-26 00:59:44,422 | DEBUG | main | api 120 <-> com.vinplay.api.processors.minigame.TopBauCuaProcessor
2023-09-26 00:59:44,423 | DEBUG | main | api 121 <-> com.vinplay.api.processors.minigame.LSGDBauCuaProcessor
2023-09-26 00:59:44,423 | DEBUG | main | api 122 <-> com.vinplay.api.processors.minigame.TopToiChonCaProcessor
2023-09-26 00:59:44,423 | DEBUG | main | api 123 <-> com.vinplay.api.processors.gamebai.TopCaoThuProcessor
2023-09-26 00:59:44,423 | DEBUG | main | api 124 <-> com.vinplay.api.processors.security.CaptchaProcessor
2023-09-26 00:59:44,423 | DEBUG | main | api 125 <-> com.vinplay.api.processors.security.UpdateAvatarProcessor
2023-09-26 00:59:44,424 | DEBUG | main | api 126 <-> com.vinplay.api.processors.vippoint.GetVippointProcessor
2023-09-26 00:59:44,424 | DEBUG | main | api 127 <-> com.vinplay.api.processors.security.ForgetPasswordProcessor
2023-09-26 00:59:44,424 | DEBUG | main | api 128 <-> com.vinplay.api.processors.security.ForgetPasswordOtpProcessor
2023-09-26 00:59:44,424 | DEBUG | main | api 129 <-> com.vinplay.api.processors.GetGameCommonProcessor
2023-09-26 00:59:44,424 | DEBUG | main | api 133 <-> com.vinplay.api.processors.security.ForgetPasswordEmailProcessor
2023-09-26 00:59:44,425 | DEBUG | main | api 134 <-> com.vinplay.api.processors.minigame.LSGDPokeGoProcessor
2023-09-26 00:59:44,425 | DEBUG | main | api 135 <-> com.vinplay.api.processors.minigame.TopPokeGoProcessor
2023-09-26 00:59:44,425 | DEBUG | main | api 136 <-> com.vinplay.api.processors.slot.TopKhoBauProcessor
2023-09-26 00:59:44,425 | DEBUG | main | api 137 <-> com.vinplay.api.processors.slot.LSGDSlotProcessor
2023-09-26 00:59:44,425 | DEBUG | main | api 138 <-> com.vinplay.api.processors.slot.LSNoHuProcessor
2023-09-26 00:59:44,426 | DEBUG | main | api 139 <-> com.vinplay.api.processors.gamebai.LSTLMNProcessor
2023-09-26 00:59:44,426 | DEBUG | main | api 140 <-> com.vinplay.api.processors.minigame.LSXDProcessor
2023-09-26 00:59:44,426 | DEBUG | main | api 141 <-> com.vinplay.api.processors.minigame.LSGDGalaxyProcessor
2023-09-26 00:59:44,426 | DEBUG | main | api 142 <-> com.vinplay.api.processors.minigame.TopGalaxyProcessor
2023-09-26 00:59:44,426 | DEBUG | main | api 201 <-> com.vinplay.api.processors.minigame.LuckyHistoryProcesscor
2023-09-26 00:59:44,427 | DEBUG | main | api 301 <-> com.vinplay.api.processors.HistoryTransactionLogProcessor
2023-09-26 00:59:44,427 | DEBUG | main | api 302 <-> com.vinplay.api.processors.GetLogMoneyUserProcessor
2023-09-26 00:59:44,427 | DEBUG | main | api 401 <-> com.vinplay.api.processors.GetListAgentProcessor
2023-09-26 00:59:44,427 | DEBUG | main | api 402 <-> com.vinplay.api.processors.ListMailBoxProcessor
2023-09-26 00:59:44,427 | DEBUG | main | api 403 <-> com.vinplay.api.processors.DeleteMailBoxProcessor
2023-09-26 00:59:44,428 | DEBUG | main | api 404 <-> com.vinplay.api.processors.UpdateStatusMailProcessor
2023-09-26 00:59:44,428 | DEBUG | main | api 405 <-> com.vinplay.api.processors.ListMailBoxNewProcessor
2023-09-26 00:59:44,428 | DEBUG | main | api 406 <-> com.vinplay.api.processors.CountMailStatusProcessor
2023-09-26 00:59:44,428 | DEBUG | main | api 501 <-> com.vinplay.api.processors.vippoint.GetEventVPMapProcessor
2023-09-26 00:59:44,428 | DEBUG | main | api 502 <-> com.vinplay.api.processors.vippoint.GetEventVPTopIntelProcessor
2023-09-26 00:59:44,428 | DEBUG | main | api 503 <-> com.vinplay.api.processors.vippoint.GetEventVPTopStrongProcessor
2023-09-26 00:59:44,428 | DEBUG | main | api 601 <-> com.vinplay.api.processors.gamebai.TopGameTourProcessor
2023-09-26 00:59:44,429 | DEBUG | main | api 602 <-> com.vinplay.api.processors.gamebai.LogGameTourProcessor
2023-09-26 00:59:44,429 | DEBUG | main | api 2000 <-> com.vinplay.api.processors.Set2AFProcessor
2023-09-26 00:59:44,429 | DEBUG | main | api 2002 <-> com.vinplay.api.processors.GetPaymentConfigProcessor
2023-09-26 00:59:44,430 | DEBUG | main | api 2003 <-> com.vinplay.api.processors.payment.CreateDepositProcessor
2023-09-26 00:59:44,430 | DEBUG | main | api 2006 <-> com.vinplay.api.processors.DepositHistoryProcessor
2023-09-26 00:59:44,430 | DEBUG | main | api 2007 <-> com.vinplay.api.processors.payment.InsertOrUpdateBankProcessor
2023-09-26 00:59:44,430 | DEBUG | main | api 2008 <-> com.vinplay.api.processors.payment.BankSearchProcessor
2023-09-26 00:59:44,430 | DEBUG | main | api 2009 <-> com.vinplay.api.processors.payment.PaymentStatusProcessor
2023-09-26 00:59:44,430 | DEBUG | main | api 2010 <-> com.vinplay.api.processors.payment.CreateWithdrawProcessor
2023-09-26 00:59:44,430 | DEBUG | main | api 2011 <-> com.vinplay.api.processors.payment.GetListBankProcessor
2023-09-26 00:59:44,431 | DEBUG | main | api 2013 <-> com.vinplay.api.processors.VerifyPhoneNumberProcessor
2023-09-26 00:59:44,431 | DEBUG | main | api 2014 <-> com.vinplay.api.processors.payment.GetBanksOneClickPayProcessor
2023-09-26 00:59:44,431 | DEBUG | main | api 2015 <-> com.vinplay.api.processors.ReceiveBonusProcessor
2023-09-26 00:59:44,431 | DEBUG | main | api 2016 <-> com.vinplay.api.processors.DepositHistory4UserplayProcessor
2023-09-26 00:59:44,431 | DEBUG | main | api 2020 <-> com.vinplay.api.processors.banner.ShowListBannerProcessor
2023-09-26 00:59:44,431 | DEBUG | main | api 2021 <-> com.vinplay.api.processors.shotfish.Login
2023-09-26 00:59:44,432 | DEBUG | main | api 2022 <-> com.vinplay.api.processors.shotfish.Deposit
2023-09-26 00:59:44,432 | DEBUG | main | api 2023 <-> com.vinplay.api.processors.shotfish.Withdraw
2023-09-26 00:59:44,432 | DEBUG | main | api 2024 <-> com.vinplay.api.processors.shotfish.CheckOrderStatus
2023-09-26 00:59:44,432 | DEBUG | main | api 2025 <-> com.vinplay.api.processors.shotfish.CheckUserBalance
2023-09-26 00:59:44,432 | DEBUG | main | api 2026 <-> com.vinplay.api.processors.shotfish.CheckUserInGame
2023-09-26 00:59:44,432 | DEBUG | main | api 2027 <-> com.vinplay.api.processors.shotfish.History
2023-09-26 00:59:44,432 | DEBUG | main | api 2028 <-> com.vinplay.api.processors.UpdatePhoneNumberProcessor
2023-09-26 00:59:44,432 | DEBUG | main | api 2029 <-> com.vinplay.api.processors.hoantra.CalculateDataHoanTraProcessor
2023-09-26 00:59:44,433 | DEBUG | main | api 2030 <-> com.vinplay.api.processors.hoantra.SendDataHoanTraProcessor
2023-09-26 00:59:44,433 | DEBUG | main | api 2031 <-> com.vinplay.api.processors.attendance.AttendanceProcessor
2023-09-26 00:59:44,433 | DEBUG | main | api 2032 <-> com.vinplay.api.processors.attendance.HistoryProcessor
2023-09-26 00:59:44,433 | DEBUG | main | api 2033 <-> com.vinplay.api.processors.SearchAgentBankProcessor
2023-09-26 00:59:44,433 | DEBUG | main | api 2034 <-> com.vinplay.api.processors.SearchAgentProcessor
2023-09-26 00:59:44,433 | DEBUG | main | api 2035 <-> com.vinplay.api.processors.DestroyHazelcastProcessor
2023-09-26 00:59:44,434 | DEBUG | main | api 2038 <-> com.vinplay.api.processors.GetCurrentTimeServer
2023-09-26 00:59:44,443 | INFO  | main | api BaseController:com.vinplay.api.processors.LoginWithOTPProcessor
2023-09-26 00:59:44,608 | INFO  | main | api PORTAL API SERVER Start error: /var/app/config/rmq.properties
2023-09-26 01:04:00,103 | INFO  | main | api Logging initialized.
2023-09-26 01:04:00,104 | DEBUG | main | api STARTING PORTAL API SERVER .... !!!!
2023-09-26 01:04:00,173 | DEBUG | main | api 1 <-> com.vinplay.api.processors.QuickRegisterProcessor
2023-09-26 01:04:00,174 | DEBUG | main | api 2 <-> com.vinplay.api.processors.LoginTokenProcessor
2023-09-26 01:04:00,174 | DEBUG | main | api 3 <-> com.vinplay.api.processors.LoginProcessor
2023-09-26 01:04:00,174 | DEBUG | main | api 4 <-> com.vinplay.api.processors.LoginWithOTPProcessor
2023-09-26 01:04:00,175 | DEBUG | main | api 5 <-> com.vinplay.api.processors.UpdateNicknameProcesscor
2023-09-26 01:04:00,175 | DEBUG | main | api 6 <-> com.vinplay.api.processors.GetAppConfigProcesscor
2023-09-26 01:04:00,175 | DEBUG | main | api 8 <-> com.vinplay.api.processors.LoginAppOtpProcessor
2023-09-26 01:04:00,175 | DEBUG | main | api 9 <-> com.vinplay.api.processors.GetTimeServerProccessor
2023-09-26 01:04:00,175 | DEBUG | main | api 10 <-> com.vinplay.api.processors.GetConfigAdminProcessor
2023-09-26 01:04:00,176 | DEBUG | main | api 13 <-> com.vinplay.api.processors.gamebai.GetListPokerTourProcessor
2023-09-26 01:04:00,176 | DEBUG | main | api 14 <-> com.vinplay.api.processors.gamebai.GetPokerTourDetailProcessor
2023-09-26 01:04:00,176 | DEBUG | main | api 15 <-> com.vinplay.api.processors.gamebai.GetPokerTicketProcessor
2023-09-26 01:04:00,176 | DEBUG | main | api 16 <-> com.vinplay.api.processors.otp.GetOtpProcessor
2023-09-26 01:04:00,176 | DEBUG | main | api 17 <-> com.vinplay.api.processors.LoginByTokenProcessor
2023-09-26 01:04:00,176 | DEBUG | main | api 18 <-> com.vinplay.api.processors.CheckAgencyCodeProcessor
2023-09-26 01:04:00,177 | DEBUG | main | api 19 <-> com.vinplay.api.processors.giftCode.GiftCodeProcessor
2023-09-26 01:04:00,177 | DEBUG | main | api 20 <-> com.vinplay.api.processors.events.GetEventProcessor
2023-09-26 01:04:00,177 | DEBUG | main | api 21 <-> com.vinplay.api.processors.events.BuyEventMoonProcessor
2023-09-26 01:04:00,177 | DEBUG | main | api 100 <-> com.vinplay.api.processors.minigame.LichSuGiaoDichTXProcessor
2023-09-26 01:04:00,177 | DEBUG | main | api 101 <-> com.vinplay.api.processors.minigame.TopWinTXProcessor
2023-09-26 01:04:00,177 | DEBUG | main | api 102 <-> com.vinplay.api.processors.minigame.ChiTietPhienTXProcessor
2023-09-26 01:04:00,178 | DEBUG | main | api 105 <-> com.vinplay.api.processors.minigame.LSGDMiniPokerProcessor
2023-09-26 01:04:00,178 | DEBUG | main | api 106 <-> com.vinplay.api.processors.minigame.VinhDanhMiniPokerProcessor
2023-09-26 01:04:00,178 | DEBUG | main | api 107 <-> com.vinplay.api.processors.minigame.LSGDCaoThapProcessor
2023-09-26 01:04:00,178 | DEBUG | main | api 108 <-> com.vinplay.api.processors.minigame.VinhDanhCaoThapProcessor
2023-09-26 01:04:00,178 | DEBUG | main | api 109 <-> com.vinplay.api.processors.minigame.TopCaoThapProcessor
2023-09-26 01:04:00,178 | DEBUG | main | api 110 <-> com.vinplay.api.processors.gamebai.GetLogNoHuGameBaiProcessor
2023-09-26 01:04:00,178 | DEBUG | main | api 111 <-> com.vinplay.api.processors.gamebai.GetConfigHuGameBaiProcessor
2023-09-26 01:04:00,179 | DEBUG | main | api 120 <-> com.vinplay.api.processors.minigame.TopBauCuaProcessor
2023-09-26 01:04:00,179 | DEBUG | main | api 121 <-> com.vinplay.api.processors.minigame.LSGDBauCuaProcessor
2023-09-26 01:04:00,179 | DEBUG | main | api 122 <-> com.vinplay.api.processors.minigame.TopToiChonCaProcessor
2023-09-26 01:04:00,179 | DEBUG | main | api 123 <-> com.vinplay.api.processors.gamebai.TopCaoThuProcessor
2023-09-26 01:04:00,179 | DEBUG | main | api 124 <-> com.vinplay.api.processors.security.CaptchaProcessor
2023-09-26 01:04:00,179 | DEBUG | main | api 125 <-> com.vinplay.api.processors.security.UpdateAvatarProcessor
2023-09-26 01:04:00,179 | DEBUG | main | api 126 <-> com.vinplay.api.processors.vippoint.GetVippointProcessor
2023-09-26 01:04:00,180 | DEBUG | main | api 127 <-> com.vinplay.api.processors.security.ForgetPasswordProcessor
2023-09-26 01:04:00,180 | DEBUG | main | api 128 <-> com.vinplay.api.processors.security.ForgetPasswordOtpProcessor
2023-09-26 01:04:00,180 | DEBUG | main | api 129 <-> com.vinplay.api.processors.GetGameCommonProcessor
2023-09-26 01:04:00,180 | DEBUG | main | api 133 <-> com.vinplay.api.processors.security.ForgetPasswordEmailProcessor
2023-09-26 01:04:00,180 | DEBUG | main | api 134 <-> com.vinplay.api.processors.minigame.LSGDPokeGoProcessor
2023-09-26 01:04:00,180 | DEBUG | main | api 135 <-> com.vinplay.api.processors.minigame.TopPokeGoProcessor
2023-09-26 01:04:00,180 | DEBUG | main | api 136 <-> com.vinplay.api.processors.slot.TopKhoBauProcessor
2023-09-26 01:04:00,181 | DEBUG | main | api 137 <-> com.vinplay.api.processors.slot.LSGDSlotProcessor
2023-09-26 01:04:00,181 | DEBUG | main | api 138 <-> com.vinplay.api.processors.slot.LSNoHuProcessor
2023-09-26 01:04:00,181 | DEBUG | main | api 139 <-> com.vinplay.api.processors.gamebai.LSTLMNProcessor
2023-09-26 01:04:00,181 | DEBUG | main | api 140 <-> com.vinplay.api.processors.minigame.LSXDProcessor
2023-09-26 01:04:00,181 | DEBUG | main | api 141 <-> com.vinplay.api.processors.minigame.LSGDGalaxyProcessor
2023-09-26 01:04:00,181 | DEBUG | main | api 142 <-> com.vinplay.api.processors.minigame.TopGalaxyProcessor
2023-09-26 01:04:00,181 | DEBUG | main | api 201 <-> com.vinplay.api.processors.minigame.LuckyHistoryProcesscor
2023-09-26 01:04:00,182 | DEBUG | main | api 301 <-> com.vinplay.api.processors.HistoryTransactionLogProcessor
2023-09-26 01:04:00,182 | DEBUG | main | api 302 <-> com.vinplay.api.processors.GetLogMoneyUserProcessor
2023-09-26 01:04:00,182 | DEBUG | main | api 401 <-> com.vinplay.api.processors.GetListAgentProcessor
2023-09-26 01:04:00,182 | DEBUG | main | api 402 <-> com.vinplay.api.processors.ListMailBoxProcessor
2023-09-26 01:04:00,182 | DEBUG | main | api 403 <-> com.vinplay.api.processors.DeleteMailBoxProcessor
2023-09-26 01:04:00,182 | DEBUG | main | api 404 <-> com.vinplay.api.processors.UpdateStatusMailProcessor
2023-09-26 01:04:00,183 | DEBUG | main | api 405 <-> com.vinplay.api.processors.ListMailBoxNewProcessor
2023-09-26 01:04:00,183 | DEBUG | main | api 406 <-> com.vinplay.api.processors.CountMailStatusProcessor
2023-09-26 01:04:00,183 | DEBUG | main | api 501 <-> com.vinplay.api.processors.vippoint.GetEventVPMapProcessor
2023-09-26 01:04:00,183 | DEBUG | main | api 502 <-> com.vinplay.api.processors.vippoint.GetEventVPTopIntelProcessor
2023-09-26 01:04:00,183 | DEBUG | main | api 503 <-> com.vinplay.api.processors.vippoint.GetEventVPTopStrongProcessor
2023-09-26 01:04:00,183 | DEBUG | main | api 601 <-> com.vinplay.api.processors.gamebai.TopGameTourProcessor
2023-09-26 01:04:00,183 | DEBUG | main | api 602 <-> com.vinplay.api.processors.gamebai.LogGameTourProcessor
2023-09-26 01:04:00,184 | DEBUG | main | api 2000 <-> com.vinplay.api.processors.Set2AFProcessor
2023-09-26 01:04:00,184 | DEBUG | main | api 2002 <-> com.vinplay.api.processors.GetPaymentConfigProcessor
2023-09-26 01:04:00,184 | DEBUG | main | api 2003 <-> com.vinplay.api.processors.payment.CreateDepositProcessor
2023-09-26 01:04:00,184 | DEBUG | main | api 2006 <-> com.vinplay.api.processors.DepositHistoryProcessor
2023-09-26 01:04:00,184 | DEBUG | main | api 2007 <-> com.vinplay.api.processors.payment.InsertOrUpdateBankProcessor
2023-09-26 01:04:00,185 | DEBUG | main | api 2008 <-> com.vinplay.api.processors.payment.BankSearchProcessor
2023-09-26 01:04:00,185 | DEBUG | main | api 2009 <-> com.vinplay.api.processors.payment.PaymentStatusProcessor
2023-09-26 01:04:00,185 | DEBUG | main | api 2010 <-> com.vinplay.api.processors.payment.CreateWithdrawProcessor
2023-09-26 01:04:00,185 | DEBUG | main | api 2011 <-> com.vinplay.api.processors.payment.GetListBankProcessor
2023-09-26 01:04:00,185 | DEBUG | main | api 2013 <-> com.vinplay.api.processors.VerifyPhoneNumberProcessor
2023-09-26 01:04:00,185 | DEBUG | main | api 2014 <-> com.vinplay.api.processors.payment.GetBanksOneClickPayProcessor
2023-09-26 01:04:00,185 | DEBUG | main | api 2015 <-> com.vinplay.api.processors.ReceiveBonusProcessor
2023-09-26 01:04:00,186 | DEBUG | main | api 2016 <-> com.vinplay.api.processors.DepositHistory4UserplayProcessor
2023-09-26 01:04:00,186 | DEBUG | main | api 2020 <-> com.vinplay.api.processors.banner.ShowListBannerProcessor
2023-09-26 01:04:00,186 | DEBUG | main | api 2021 <-> com.vinplay.api.processors.shotfish.Login
2023-09-26 01:04:00,186 | DEBUG | main | api 2022 <-> com.vinplay.api.processors.shotfish.Deposit
2023-09-26 01:04:00,186 | DEBUG | main | api 2023 <-> com.vinplay.api.processors.shotfish.Withdraw
2023-09-26 01:04:00,186 | DEBUG | main | api 2024 <-> com.vinplay.api.processors.shotfish.CheckOrderStatus
2023-09-26 01:04:00,186 | DEBUG | main | api 2025 <-> com.vinplay.api.processors.shotfish.CheckUserBalance
2023-09-26 01:04:00,187 | DEBUG | main | api 2026 <-> com.vinplay.api.processors.shotfish.CheckUserInGame
2023-09-26 01:04:00,187 | DEBUG | main | api 2027 <-> com.vinplay.api.processors.shotfish.History
2023-09-26 01:04:00,187 | DEBUG | main | api 2028 <-> com.vinplay.api.processors.UpdatePhoneNumberProcessor
2023-09-26 01:04:00,187 | DEBUG | main | api 2029 <-> com.vinplay.api.processors.hoantra.CalculateDataHoanTraProcessor
2023-09-26 01:04:00,187 | DEBUG | main | api 2030 <-> com.vinplay.api.processors.hoantra.SendDataHoanTraProcessor
2023-09-26 01:04:00,187 | DEBUG | main | api 2031 <-> com.vinplay.api.processors.attendance.AttendanceProcessor
2023-09-26 01:04:00,188 | DEBUG | main | api 2032 <-> com.vinplay.api.processors.attendance.HistoryProcessor
2023-09-26 01:04:00,188 | DEBUG | main | api 2033 <-> com.vinplay.api.processors.SearchAgentBankProcessor
2023-09-26 01:04:00,188 | DEBUG | main | api 2034 <-> com.vinplay.api.processors.SearchAgentProcessor
2023-09-26 01:04:00,188 | DEBUG | main | api 2035 <-> com.vinplay.api.processors.DestroyHazelcastProcessor
2023-09-26 01:04:00,188 | DEBUG | main | api 2038 <-> com.vinplay.api.processors.GetCurrentTimeServer
2023-09-26 01:04:00,198 | INFO  | main | api BaseController:com.vinplay.api.processors.LoginWithOTPProcessor
2023-09-26 01:04:00,382 | INFO  | main | api PORTAL API SERVER Start error: /var/app/config/rmq.properties
